Age,JobLevel,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Attrition_txt
41,2,1,Life Sciences,Female,Sales Executive,4,Single,5993,8,11,3,8,0,6,4,0,5,1,Yes
49,2,8,Life Sciences,Male,Research Scientist,2,Married,5130,1,23,4,10,3,10,7,1,7,0,No
37,1,2,Other,Male,Laboratory Technician,3,Single,2090,6,15,3,7,3,0,0,0,0,1,Yes
33,1,3,Life Sciences,Female,Research Scientist,3,Married,2909,1,11,3,8,3,8,7,3,0,0,No
27,1,2,Medical,Male,Laboratory Technician,2,Married,3468,9,12,3,6,3,2,2,2,2,0,No
32,1,2,Life Sciences,Male,Laboratory Technician,4,Single,3068,0,13,3,8,2,7,7,3,6,0,No
59,1,3,Medical,Female,Laboratory Technician,1,Married,2670,4,20,4,12,3,1,0,0,0,0,No
30,1,24,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,1,22,4,1,2,1,0,0,0,0,No
38,3,23,Life Sciences,Male,Manufacturing Director,3,Single,9526,0,21,4,10,2,9,7,1,8,0,No
36,2,27,Medical,Male,Healthcare Representative,3,Married,5237,6,13,3,17,3,7,7,7,7,0,No
35,1,16,Medical,Male,Laboratory Technician,2,Married,2426,0,13,3,6,5,5,4,0,3,0,No
29,2,15,Life Sciences,Female,Laboratory Technician,3,Single,4193,0,12,3,10,3,9,5,0,8,0,No
31,1,26,Life Sciences,Male,Research Scientist,3,Divorced,2911,1,17,3,5,1,5,2,4,3,0,No
34,1,19,Medical,Male,Laboratory Technician,4,Divorced,2661,0,11,3,3,2,2,2,1,2,0,No
28,1,24,Life Sciences,Male,Laboratory Technician,3,Single,2028,5,14,3,6,4,4,2,0,3,1,Yes
29,3,21,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,1,11,3,10,1,10,9,8,8,0,No
32,1,5,Life Sciences,Male,Research Scientist,2,Divorced,3298,0,12,3,7,5,6,2,0,5,0,No
22,1,16,Medical,Male,Laboratory Technician,4,Divorced,2935,1,13,3,1,2,1,0,0,0,0,No
53,4,2,Life Sciences,Female,Manager,4,Married,15427,2,16,3,31,3,25,8,3,7,0,No
38,1,2,Life Sciences,Male,Research Scientist,4,Single,3944,5,11,3,6,3,3,2,1,2,0,No
24,2,11,Other,Female,Manufacturing Director,3,Divorced,4011,0,18,3,5,5,4,2,1,3,0,No
36,1,9,Life Sciences,Male,Sales Representative,1,Single,3407,7,23,4,10,4,5,3,0,3,1,Yes
34,3,7,Life Sciences,Female,Research Director,2,Single,11994,0,11,3,13,4,12,6,2,11,0,No
21,1,15,Life Sciences,Male,Research Scientist,4,Single,1232,1,14,3,0,6,0,0,0,0,0,No
34,1,6,Medical,Male,Research Scientist,1,Single,2960,2,11,3,8,2,4,2,1,3,1,Yes
53,5,5,Other,Female,Manager,3,Divorced,19094,4,11,3,26,3,14,13,4,8,0,No
32,1,16,Life Sciences,Female,Research Scientist,1,Single,3919,1,22,4,10,5,10,2,6,7,1,Yes
42,2,8,Marketing,Male,Sales Executive,2,Married,6825,0,11,3,10,2,9,7,4,2,0,No
44,3,7,Medical,Female,Healthcare Representative,4,Married,10248,3,14,3,24,4,22,6,5,17,0,No
46,5,2,Marketing,Female,Manager,1,Single,18947,3,12,3,22,2,2,2,2,1,0,No
33,1,2,Medical,Male,Laboratory Technician,4,Single,2496,4,11,3,7,3,1,1,0,0,0,No
44,2,10,Other,Male,Healthcare Representative,4,Married,6465,2,13,3,9,5,4,2,1,3,0,No
30,1,9,Medical,Male,Laboratory Technician,3,Single,2206,1,13,3,10,5,10,0,1,8,0,No
39,2,5,Technical Degree,Male,Sales Representative,4,Married,2086,3,14,3,19,6,1,0,0,0,1,Yes
24,1,1,Medical,Male,Research Scientist,4,Married,2293,2,16,3,6,2,2,0,2,0,1,Yes
43,1,2,Medical,Female,Research Scientist,3,Divorced,2645,1,12,3,6,3,5,3,1,4,0,No
50,1,3,Marketing,Male,Sales Representative,3,Married,2683,1,14,3,3,2,3,2,0,2,1,Yes
35,1,2,Marketing,Female,Sales Representative,4,Married,2014,1,13,3,2,3,2,2,2,2,0,No
36,1,5,Life Sciences,Female,Research Scientist,1,Married,3419,9,14,3,6,3,1,1,0,0,0,No
33,2,1,Life Sciences,Female,Sales Executive,1,Married,5376,2,19,3,10,3,5,3,1,3,0,No
35,1,4,Other,Male,Laboratory Technician,4,Divorced,1951,1,12,3,1,3,1,0,0,0,0,No
27,1,2,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,1,13,3,1,6,1,0,0,0,0,No
26,1,25,Life Sciences,Male,Laboratory Technician,3,Single,2293,1,12,3,1,2,1,0,0,1,1,Yes
27,3,8,Life Sciences,Male,Sales Executive,3,Single,8726,1,15,3,9,0,9,8,1,7,0,No
30,2,1,Medical,Female,Laboratory Technician,4,Single,4011,1,23,4,12,2,12,8,3,7,0,No
41,5,12,Technical Degree,Female,Research Director,3,Married,19545,1,12,3,23,0,22,15,15,8,1,Yes
34,2,23,Marketing,Male,Sales Executive,3,Single,4568,0,20,4,10,2,9,5,8,7,0,No
37,1,19,Life Sciences,Male,Research Scientist,2,Married,3022,4,21,4,8,1,1,0,0,0,0,No
46,2,5,Marketing,Male,Sales Executive,4,Single,5772,4,21,4,14,4,9,6,0,8,0,No
35,1,8,Life Sciences,Male,Laboratory Technician,4,Married,2269,1,19,3,1,2,1,0,0,1,0,No
48,3,1,Life Sciences,Male,Laboratory Technician,3,Single,5381,9,13,3,23,2,1,0,0,0,1,Yes
28,1,5,Technical Degree,Male,Laboratory Technician,3,Single,3441,1,13,3,2,3,2,2,2,2,1,Yes
44,2,1,Marketing,Female,Sales Executive,1,Divorced,5454,5,21,4,9,2,4,3,1,3,0,No
35,3,11,Medical,Male,Healthcare Representative,1,Married,9884,2,13,3,10,3,4,0,2,3,0,No
26,2,23,Marketing,Female,Sales Executive,4,Married,4157,7,19,3,5,2,2,2,0,0,0,No
33,3,1,Life Sciences,Female,Research Director,4,Single,13458,1,12,3,15,1,15,14,8,12,0,No
35,3,18,Life Sciences,Male,Sales Executive,1,Married,9069,1,22,4,9,3,9,8,1,8,0,No
35,1,23,Medical,Female,Laboratory Technician,1,Married,4014,3,15,3,4,3,2,2,2,2,0,No
31,2,7,Life Sciences,Male,Laboratory Technician,4,Divorced,5915,3,22,4,10,3,7,7,1,7,0,No
37,2,1,Life Sciences,Male,Manufacturing Director,3,Divorced,5993,1,18,3,7,2,7,5,0,7,0,No
32,2,1,Medical,Male,Manufacturing Director,4,Married,6162,1,22,4,9,3,9,8,7,8,0,No
38,2,29,Life Sciences,Female,Laboratory Technician,4,Single,2406,1,11,3,10,2,10,3,9,9,0,No
50,5,7,Medical,Female,Research Director,3,Divorced,18740,5,12,3,29,2,27,3,13,8,0,No
59,3,25,Life Sciences,Female,Sales Executive,1,Single,7637,7,11,3,28,3,21,16,7,9,0,No
36,3,8,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,1,13,3,17,2,17,14,12,8,0,No
55,4,8,Medical,Female,Manager,3,Divorced,14756,2,14,3,21,2,5,0,0,2,0,No
36,2,11,Life Sciences,Male,Manufacturing Director,2,Single,6499,1,13,3,6,3,6,5,0,3,0,No
45,3,7,Life Sciences,Male,Research Scientist,1,Divorced,9724,2,17,3,25,2,1,0,0,0,0,No
35,1,1,Medical,Male,Research Scientist,1,Married,2194,4,13,3,5,2,3,2,1,2,0,No
36,1,9,Medical,Male,Research Scientist,3,Married,3388,0,17,3,2,0,1,0,0,0,1,Yes
59,2,1,Life Sciences,Female,Sales Executive,3,Single,5473,7,11,3,20,2,4,3,1,3,0,No
