"","JobLevel","Age","DistanceFromHome","EducationField","Gender","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition","mean_sal","sal_diff","comp_ratio"
"1",1,32,2,"Life Sciences","Male","Laboratory Technician","4","Single",3068,0,13,"3",8,2,7,7,3,6,0,2786.9152854512,281.084714548803,1.1008587221923
"2",1,37,19,"Life Sciences","Male","Research Scientist","2","Married",3022,4,21,"4",8,1,1,0,0,0,0,2786.9152854512,235.084714548803,1.08435301775265
"3",1,38,1,"Life Sciences","Female","Research Scientist","1","Single",2619,3,17,"3",8,3,0,0,0,0,0,2786.9152854512,-167.915285451197,0.93974869407485
"4",1,27,2,"Marketing","Male","Sales Representative","1","Divorced",3041,0,11,"3",5,3,4,3,0,2,1,2786.9152854512,254.084714548803,1.09117059132555
"5",1,28,5,"Technical Degree","Male","Laboratory Technician","3","Single",3441,1,13,"3",2,3,2,2,2,2,1,2786.9152854512,654.084714548803,1.23469845601816
"6",1,31,1,"Medical","Male","Research Scientist","2","Single",2501,1,17,"3",1,4,1,1,1,0,0,2786.9152854512,-285.915285451197,0.897407973990531
"7",1,41,14,"Life Sciences","Male","Research Scientist","3","Divorced",2451,4,12,"3",13,2,9,8,1,8,0,2786.9152854512,-335.915285451197,0.879466990903955
"8",1,27,2,"Medical","Male","Laboratory Technician","2","Married",3468,9,12,"3",6,3,2,2,2,2,0,2786.9152854512,681.084714548803,1.24438658688491
"9",1,45,7,"Medical","Female","Research Scientist","3","Married",4477,4,19,"3",7,2,3,2,0,2,0,2786.9152854512,1690.0847145488,1.60643562557201
"10",1,29,2,"Life Sciences","Male","Research Scientist","2","Married",2703,0,23,"4",6,3,5,4,0,4,0,2786.9152854512,-83.9152854511972,0.969889545660298
"11",1,43,28,"Medical","Female","Research Scientist","3","Single",4739,4,12,"3",18,2,3,2,1,2,0,2786.9152854512,1952.0847145488,1.70044637694567
